bucket,window_years,window_start_actual,window_end,annual,max_dd,sharpe,vol,total_return,peak_date,trough_date,recovery_date
A_1_100,5,2021-03-18,2026-03-18,0.4670234038202916,-0.4807232556023285,1.518000052604244,0.30765704060357413,5.7860274465149235,2024-01-02,2024-02-07,2024-10-28
A_1_100,10,2016-03-18,2026-03-18,0.5021168320362013,-0.4807232556023285,1.7623402241212822,0.2849148110924841,57.25642998970483,2024-01-02,2024-02-07,2024-10-28
A_1_100,15,2011-03-18,2026-03-18,0.6909307689743129,-0.4807232556023284,2.1840858534487797,0.31634780651287087,2630.2967101291206,2024-01-02,2024-02-07,2024-10-28
B_101_200,5,2021-03-18,2026-03-18,0.3763398407322245,-0.45538031313709115,1.274270998598074,0.2953373663422189,3.93348310020152,2024-01-02,2024-02-07,2024-10-08
B_101_200,10,2016-03-18,2026-03-18,0.23185654437748604,-0.5019605945961914,0.8322224461978432,0.27859924403236663,7.030333102655447,2017-03-22,2018-10-18,2020-09-02
B_101_200,15,2011-03-18,2026-03-18,0.28905822428308703,-0.5324521418129733,0.9262543567813211,0.31207218855903385,44.004688373693476,2015-06-12,2015-07-08,2015-12-15
C_201_300,5,2021-03-18,2026-03-18,0.34471224257374744,-0.4604991340051105,1.2161042540663052,0.28345616045756616,3.392447547597355,2023-12-04,2024-02-07,2024-10-28
C_201_300,10,2016-03-18,2026-03-18,0.2020662984843753,-0.4992617342189267,0.7491108296387851,0.2697415262062223,5.288083508926519,2016-11-22,2018-10-18,2020-08-31
C_201_300,15,2011-03-18,2026-03-18,0.2429301758614777,-0.5630335653696201,0.7904440769312285,0.30733379242288067,25.060928295654445,2015-06-12,2015-07-08,2015-12-22
D_301_400,5,2021-03-18,2026-03-18,0.3103706738926988,-0.4571104901027003,1.11358086526055,0.2787140867583782,2.8598378933263353,2023-11-28,2024-02-07,2024-10-28
D_301_400,10,2016-03-18,2026-03-18,0.15521844567397491,-0.5606522385513719,0.5799540792877719,0.2676391997528409,3.227081976497127,2016-11-22,2018-10-18,2021-09-08
D_301_400,15,2011-03-18,2026-03-18,0.16333500042727,-0.5945505694088092,0.5372743013835883,0.3040067243243346,8.662226672415821,2015-06-12,2018-10-18,2021-12-21
