action,symbol,name,prev_rank,new_rank,realtime_market_cap,realtime_price,signal_date,effective_date
enter,688701,卓锦股份,,1.0,1266235618.0,9.43,2026-04-02,2026-04-03
enter,688296,和达科技,,2.0,1484685562.0,13.76,2026-04-02,2026-04-03
enter,600543,莫高股份,,6.0,1538164800.0,4.79,2026-04-02,2026-04-03
enter,688217,睿昂基因,,9.0,1577929062.0,28.25,2026-04-02,2026-04-03
enter,688659,元琛科技,,10.0,1580800000.0,9.88,2026-04-02,2026-04-03
enter,688671,碧兴物联,,12.0,1684230405.0,21.45,2026-04-02,2026-04-03
enter,300621,维业股份,,17.0,1728951177.0,8.31,2026-04-02,2026-04-03
enter,600476,湘邮科技,,18.0,1729891800.0,10.74,2026-04-02,2026-04-03
enter,688078,龙软科技,,21.0,1783691710.0,24.47,2026-04-02,2026-04-03
enter,300295,三六五网,,22.0,1797538009.0,9.48,2026-04-02,2026-04-03
enter,688528,秦川物联,,24.0,1821120000.0,10.84,2026-04-02,2026-04-03
enter,688067,爱威科技,,25.0,1825800000.0,26.85,2026-04-02,2026-04-03
enter,300500,启迪设计,,27.0,1851092606.0,10.64,2026-04-02,2026-04-03
enter,688793,倍轻松,,28.0,1858999413.0,21.63,2026-04-02,2026-04-03
enter,688329,艾隆科技,,29.0,1868240000.0,24.2,2026-04-02,2026-04-03
enter,600883,博闻科技,,30.0,1874538720.0,7.94,2026-04-02,2026-04-03
enter,600697,欧亚集团,,34.0,1905875139.0,11.98,2026-04-02,2026-04-03
enter,688565,力源科技,,35.0,1910554800.0,12.76,2026-04-02,2026-04-03
enter,688096,京源环保,,38.0,1933206036.0,8.19,2026-04-02,2026-04-03
enter,688681,科汇股份,,42.0,1976169600.0,18.88,2026-04-02,2026-04-03
enter,600778,友好集团,,43.0,1996659566.0,6.41,2026-04-02,2026-04-03
enter,300670,大烨智能,,44.0,2006106632.0,6.33,2026-04-02,2026-04-03
enter,301037,保立佳,,50.0,2045156101.0,14.71,2026-04-02,2026-04-03
enter,002207,准油股份,,51.0,2046652502.0,7.81,2026-04-02,2026-04-03
enter,600448,华纺股份,,53.0,2053212098.0,3.26,2026-04-02,2026-04-03
enter,688695,中创股份,,56.0,2064196944.0,24.27,2026-04-02,2026-04-03
enter,300958,建工修复,,57.0,2064220745.0,13.17,2026-04-02,2026-04-03
enter,688193,仁度生物,,61.0,2078424157.0,51.87,2026-04-02,2026-04-03
enter,301139,元道通信,,63.0,2081463296.0,17.12,2026-04-02,2026-04-03
enter,301030,仕净科技,,66.0,2090619799.0,10.33,2026-04-02,2026-04-03
enter,600847,万里股份,,67.0,2092373010.0,13.65,2026-04-02,2026-04-03
enter,300081,ST恒信,,70.0,2098640097.0,3.47,2026-04-02,2026-04-03
enter,688573,信宇人,,71.0,2101719342.0,21.5,2026-04-02,2026-04-03
enter,300838,浙江力诺,,72.0,2102784720.0,15.24,2026-04-02,2026-04-03
enter,688466,金科环境,,74.0,2114488371.0,17.31,2026-04-02,2026-04-03
enter,688189,南新制药,,75.0,2115624000.0,7.71,2026-04-02,2026-04-03
enter,300220,金运激光,,78.0,2121336000.0,14.03,2026-04-02,2026-04-03
enter,301372,科净源,,80.0,2121600044.0,30.94,2026-04-02,2026-04-03
enter,300823,建科智能,,83.0,2145497068.0,16.38,2026-04-02,2026-04-03
enter,600303,曙光股份,,85.0,2153353265.0,3.15,2026-04-02,2026-04-03
enter,688670,金迪克,,89.0,2162160000.0,17.55,2026-04-02,2026-04-03
enter,300163,先锋新材,,93.0,2180400000.0,4.6,2026-04-02,2026-04-03
enter,688420,美腾科技,,97.0,2189526800.0,24.76,2026-04-02,2026-04-03
exit,001211,双枪科技,21.0,,,,2026-04-02,2026-04-03
exit,301024,霍普股份,37.0,,,,2026-04-02,2026-04-03
exit,301273,瑞晨环保,40.0,,,,2026-04-02,2026-04-03
exit,300334,津膜科技,55.0,,,,2026-04-02,2026-04-03
exit,300640,德艺文创,56.0,,,,2026-04-02,2026-04-03
exit,001366,播恩集团,58.0,,,,2026-04-02,2026-04-03
exit,300517,海波重科,59.0,,,,2026-04-02,2026-04-03
exit,300103,达刚控股,60.0,,,,2026-04-02,2026-04-03
exit,301001,凯淳股份,61.0,,,,2026-04-02,2026-04-03
exit,301390,经纬股份,62.0,,,,2026-04-02,2026-04-03
exit,300949,奥雅股份,63.0,,,,2026-04-02,2026-04-03
exit,301072,中捷精工,64.0,,,,2026-04-02,2026-04-03
exit,300549,优德精密,65.0,,,,2026-04-02,2026-04-03
exit,300112,万讯自控,66.0,,,,2026-04-02,2026-04-03
exit,600202,哈空调,67.0,,,,2026-04-02,2026-04-03
exit,301515,港通医疗,68.0,,,,2026-04-02,2026-04-03
exit,605122,四方新材,69.0,,,,2026-04-02,2026-04-03
exit,300883,龙利得,70.0,,,,2026-04-02,2026-04-03
exit,002319,乐通股份,72.0,,,,2026-04-02,2026-04-03
exit,603356,华菱精工,74.0,,,,2026-04-02,2026-04-03
exit,300721,怡达股份,75.0,,,,2026-04-02,2026-04-03
exit,000663,永安林业,76.0,,,,2026-04-02,2026-04-03
exit,301113,雅艺科技,77.0,,,,2026-04-02,2026-04-03
exit,301519,舜禹股份,78.0,,,,2026-04-02,2026-04-03
exit,002652,扬子新材,79.0,,,,2026-04-02,2026-04-03
exit,000692,惠天热电,80.0,,,,2026-04-02,2026-04-03
exit,688038,中科通达,84.0,,,,2026-04-02,2026-04-03
exit,300605,恒锋信息,85.0,,,,2026-04-02,2026-04-03
exit,000702,正虹科技,86.0,,,,2026-04-02,2026-04-03
exit,300074,华平股份,87.0,,,,2026-04-02,2026-04-03
exit,002760,凤形股份,88.0,,,,2026-04-02,2026-04-03
exit,002513,蓝丰生化,89.0,,,,2026-04-02,2026-04-03
exit,001259,利仁科技,90.0,,,,2026-04-02,2026-04-03
exit,688056,莱伯泰科,91.0,,,,2026-04-02,2026-04-03
exit,002694,顾地科技,92.0,,,,2026-04-02,2026-04-03
exit,000838,财信发展,93.0,,,,2026-04-02,2026-04-03
exit,688026,洁特生物,94.0,,,,2026-04-02,2026-04-03
exit,300305,裕兴股份,95.0,,,,2026-04-02,2026-04-03
exit,603378,亚士创能,96.0,,,,2026-04-02,2026-04-03
exit,688051,佳华科技,97.0,,,,2026-04-02,2026-04-03
exit,000679,大连友谊,98.0,,,,2026-04-02,2026-04-03
exit,002802,洪汇新材,99.0,,,,2026-04-02,2026-04-03
exit,002809,红墙股份,100.0,,,,2026-04-02,2026-04-03
