annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,latest_nav,window,strategy
-0.22857819745626962,0.1981962311100628,-1.1532923516054907,-0.15982919955718725,-0.06460795086612847,2026-01-05,2026-04-09,62,0.9353920491338715,ytd,0.5x baseline
0.4505227454912655,0.16776087323837494,2.6855054864378793,-0.15982919955718708,0.45015353565704497,2025-04-09,2026-04-09,243,1.450153535657045,1y,0.5x baseline
0.3099704607603917,0.1803666060437585,1.7185579279857945,-0.15982919955718733,1.2466929602381014,2023-04-10,2026-04-09,726,2.2466929602381014,3y,0.5x baseline
0.2593876508657471,0.16918510083460497,1.5331589459483432,-0.1598291995571869,2.167587327384177,2021-04-09,2026-04-09,1211,3.167587327384177,5y,0.5x baseline
0.23964190344919767,0.14685905092613927,1.6317816432691115,-0.15982919955718694,7.557046738724948,2016-04-11,2026-04-09,2429,8.557046738724948,10y,0.5x baseline
0.2757294612160648,0.1502720052440893,1.8348691146311176,-0.2415190715312499,37.53648165953239,2011-04-11,2026-04-09,3645,38.53648165953239,15y,0.5x baseline
-0.13889644153440162,0.15932959035497976,-0.8717554675496627,-0.12665189323641543,-0.037754286364463874,2026-01-05,2026-04-09,62,0.9622457136355361,ytd,0.5x best nav
0.4210662983809499,0.14904801803271597,2.8250378900612154,-0.12665189323641565,0.42072453704623447,2025-04-09,2026-04-09,243,1.4207245370462345,1y,0.5x best nav
0.27686974698462596,0.15631690000322326,1.7712080202391225,-0.1316724956020335,1.0807592393850873,2023-04-10,2026-04-09,726,2.0807592393850873,3y,0.5x best nav
0.22238898056614853,0.1489951663448994,1.4925919143669029,-0.13167249560203417,1.7288988577360147,2021-04-09,2026-04-09,1211,2.7288988577360147,5y,0.5x best nav
0.20767105778472628,0.12931504271501268,1.6059311695267835,-0.13167249560203392,5.5906109596907605,2016-04-11,2026-04-09,2429,6.5906109596907605,10y,0.5x best nav
0.249618956924049,0.1270441731601622,1.9648201937554357,-0.18362169231501568,27.261837105881593,2011-04-11,2026-04-09,3645,28.261837105881593,15y,0.5x best nav
-0.16088496007999353,0.197970240576379,-0.8126724482002254,-0.13772914718498086,-0.04413874782751992,2026-01-05,2026-04-09,62,0.9558612521724801,ytd,0.8x baseline
0.3596670067673242,0.15802364989067763,2.2760327774744193,-0.1377291471849804,0.35938110674857304,2025-04-09,2026-04-09,243,1.359381106748573,1y,0.8x baseline
0.29266735252767284,0.15649689508474335,1.8701160324567012,-0.13772914718498075,1.158894479127491,2023-04-10,2026-04-09,726,2.158894479127491,3y,0.8x baseline
0.24919286144800834,0.1503591735309133,1.657317312912572,-0.1377291471849802,2.0414545404083366,2021-04-09,2026-04-09,1211,3.0414545404083366,5y,0.8x baseline
0.24930833913620165,0.12382144108110629,2.013450473193073,-0.13772914718498025,8.247721055684304,2016-04-11,2026-04-09,2429,9.247721055684304,10y,0.8x baseline
0.26124899420272474,0.1131413031220905,2.3090506030393834,-0.13772914718498014,31.473532400717183,2011-04-11,2026-04-09,3645,32.47353240071718,15y,0.8x baseline
-0.057795744315835895,0.17994909246837806,-0.32117830394722424,-0.1107862148035055,-0.015204568071985003,2026-01-05,2026-04-09,62,0.984795431928015,ytd,0.8x best nav
0.3569353099247028,0.14655654641486912,2.4354784460756735,-0.11078621480350545,0.35665185177915615,2025-04-09,2026-04-09,243,1.3566518517791561,1y,0.8x best nav
0.27136404228616073,0.14059766998382653,1.9300749601140386,-0.11078621480350516,1.0539774250023148,2023-04-10,2026-04-09,726,2.053977425002315,3y,0.8x best nav
0.23177870046344506,0.1354778372125113,1.710823742335624,-0.11235794530412407,1.8353161028435792,2021-04-09,2026-04-09,1211,2.835316102843579,5y,0.8x best nav
0.23703943014515216,0.11368404466106408,2.0850721035819757,-0.11235794530412409,7.379210432348733,2016-04-11,2026-04-09,2429,8.379210432348733,10y,0.8x best nav
0.24779416837428725,0.10329318998035777,2.3989400310069597,-0.11235794530412457,26.6492674987129,2011-04-11,2026-04-09,3645,27.6492674987129,15y,0.8x best nav
