strategy,window,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days
3/6,ytd,-0.038754442583610604,0.19273695589503134,-0.20107426935142164,-0.10701419215335783,-0.010120610119259354,2026-01-05,2026-04-09,62
3/8,ytd,-0.051392443364383866,0.19443633092885737,-0.2643150234262954,-0.11005058195778072,-0.013486463933095605,2026-01-05,2026-04-09,62
4/8,ytd,-0.0672391522435809,0.19875981455226235,-0.33829349456301133,-0.11372724508398013,-0.017754273839990953,2026-01-05,2026-04-09,62
3/6,1y,0.29857143607578074,0.14933025846034212,1.999403464201951,-0.10701419215335828,0.29833923852099264,2025-04-09,2026-04-09,243
3/8,1y,0.3061831290345811,0.1513184238737313,2.0234358857060113,-0.1100505819577805,0.3059443462184075,2025-04-09,2026-04-09,243
4/8,1y,0.3087656878750129,0.15314367374763882,2.0161831064848243,-0.1137272450839798,0.30852466385541666,2025-04-09,2026-04-09,243
3/6,3y,0.26394516422344205,0.13959286958942965,1.890821250395935,-0.10701419215335828,1.0182539467221474,2023-04-10,2026-04-09,726
3/8,3y,0.28243759336781693,0.14262542521604252,1.9802752064717304,-0.11005058195778006,1.1080789951873444,2023-04-10,2026-04-09,726
4/8,3y,0.28390433116828295,0.1441264246352377,1.9698284467043576,-0.11372724508397991,1.1153154044766862,2023-04-10,2026-04-09,726
3/6,5y,0.22711178592641956,0.13633030827621143,1.665893584471919,-0.11962955226690986,1.7820171243606229,2021-04-09,2026-04-09,1211
3/8,5y,0.2359061786718024,0.13799847500596618,1.7094839538016875,-0.12383715447651777,1.883132199404037,2021-04-09,2026-04-09,1211
4/8,5y,0.24146761380362003,0.13993291617035422,1.7255955239984961,-0.12450936137995328,1.9485783857680024,2021-04-09,2026-04-09,1211
