annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,window,strategy
-0.10582241974373285,0.21054063732704809,-0.5026223017428754,-0.1272531752099333,-0.028375356068812363,2026-01-05,2026-04-09,62,ytd,baseline_v1_1
0.3138096951951381,0.16113978912235694,1.947437668277297,-0.12725317520993318,0.3135642838268691,2025-04-09,2026-04-09,243,1y,baseline_v1_1
0.29257715516107496,0.15408266454245165,1.89883239642748,-0.12725317520993273,1.1584429018142979,2023-04-10,2026-04-09,726,3y,baseline_v1_1
0.2536762594789066,0.15193944517002964,1.6695879019107065,-0.1434863780482677,2.096419579019002,2021-04-09,2026-04-09,1211,5y,baseline_v1_1
0.26724227284241464,0.12369063256314039,2.1605700230047367,-0.14348637804826814,9.663320961256964,2016-04-11,2026-04-09,2429,10y,baseline_v1_1
0.26219764299898785,0.10899757669228109,2.40553644361486,-0.14348637804826736,31.841724027206922,2011-04-11,2026-04-09,3645,15y,baseline_v1_1
-0.07830754177790267,0.20592202183164768,-0.3802776462729338,-0.12041930419017477,-0.020767241885364385,2026-01-05,2026-04-09,62,ytd,old_best_mild
0.30917721169506196,0.1571446715857371,1.9674686298630042,-0.12041930419017455,0.30893583022362336,2025-04-09,2026-04-09,243,1y,old_best_mild
0.27953575253903984,0.14860570738282494,1.8810566394931552,-0.12041930419017455,1.09381089800334,2023-04-10,2026-04-09,726,3y,old_best_mild
0.23999849482874924,0.14424363794745182,1.6638411110802755,-0.13209487623463434,1.9311756666277997,2021-04-09,2026-04-09,1211,5y,old_best_mild
0.25838141398539816,0.11856533509984993,2.179232351241634,-0.13209487623463556,8.94122204847481,2016-04-11,2026-04-09,2429,10y,old_best_mild
0.25527378333334405,0.10481302984607456,2.4355157341432823,-0.13209487623463423,29.24153276594366,2011-04-11,2026-04-09,3645,15y,old_best_mild
-0.0650344269577724,0.20376511968065789,-0.31916368738523454,-0.11717672245802191,-0.017157291976146793,2026-01-05,2026-04-09,62,ytd,best_v1_1_scan
0.30809750922896173,0.15347861202057125,2.0074296032053405,-0.11717672245802213,0.30785706540449675,2025-04-09,2026-04-09,243,1y,best_v1_1_scan
0.28029721083603665,0.14421109309145128,1.9436591515070656,-0.11717672245802147,1.0975486734618545,2023-04-10,2026-04-09,726,3y,best_v1_1_scan
0.2385690519405872,0.1398642930907509,1.7057180690556362,-0.126114968620617,1.914321901906987,2021-04-09,2026-04-09,1211,5y,best_v1_1_scan
0.2550824523296118,0.11527220393196887,2.2128704373532746,-0.12611496862061666,8.68383099551912,2016-04-11,2026-04-09,2429,10y,best_v1_1_scan
0.2517071300697793,0.10200209839280878,2.46766619545863,-0.12611496862061666,27.97835527998666,2011-04-11,2026-04-09,3645,15y,best_v1_1_scan
