top_n,hedge_ratio,window_years,annual,max_dd,sharpe
100,0.9,1,0.35534520536389147,-0.07189659074952712,2.377502067107917
100,1.0,1,0.3411925724169165,-0.07030824215509658,2.3074691295301464
30,0.9,1,0.293829230603988,-0.10519213936821813,1.9302605791322696
30,1.0,1,0.2739027473288842,-0.10307984644617393,1.8133507126648272
20,0.9,1,0.13072940883197903,-0.12137978120827174,0.8011060000888857
20,1.0,1,0.11519404124827837,-0.12936128521417728,0.7118815518332668
100,0.9,2,0.31412658612448285,-0.10665876492815266,2.0016199167210007
30,0.9,2,0.3298628864466109,-0.10519213936821831,1.9802742463085388
30,1.0,2,0.3129788445907471,-0.10307984644617423,1.897010381085589
100,1.0,2,0.28910906191923513,-0.10579340513002781,1.868563413557019
20,0.9,2,0.3077554466622159,-0.12137978120827235,1.7018661792276875
20,1.0,2,0.28685329474391885,-0.12936128521417734,1.6036326258058913
30,0.9,3,0.3517738554216432,-0.1153001809605682,2.2890724592908027
30,1.0,3,0.3458164805073025,-0.10782446369384277,2.258285984456089
100,0.9,3,0.3203407502566811,-0.10665876492815247,2.2002967568991525
100,1.0,3,0.3097497703561696,-0.10579340513002804,2.1436360165015778
20,0.9,3,0.32818430584230707,-0.12137978120827242,1.980876395731396
20,1.0,3,0.3195990486979947,-0.12936128521417742,1.936067689899705
100,0.9,4,0.28202454175386715,-0.1180606718689727,1.9972617981406946
30,0.9,4,0.295738762568613,-0.1153001809605686,1.973607310574272
100,1.0,4,0.27810712692222084,-0.11949724947328215,1.9729303474790432
30,1.0,4,0.2946599848835725,-0.11963839297376035,1.9634049926867072
20,0.9,4,0.2674667709925531,-0.12137978120827271,1.6816413620259079
20,1.0,4,0.2636069557225107,-0.129361285214177,1.6534213195318128
30,0.9,5,0.3084618538190962,-0.11530018096056809,2.019843259555475
30,1.0,5,0.3041667368355645,-0.11963839297376046,1.9720234175076536
100,0.9,5,0.26339841834254707,-0.13183782840514602,1.8360461979673401
100,1.0,5,0.25812504471942543,-0.1482665774073777,1.7871015359385178
20,0.9,5,0.2843806732946452,-0.12137978120827259,1.760189517545687
20,1.0,5,0.2782406085029028,-0.12936128521417728,1.7045783196273196
