index_label,window_years,window_start_actual,window_end,annual,max_dd,sharpe,vol,total_return,win_rate,active_days_pct,trades_per_year,peak_date,trough_date,recovery_date
top_100,5,2021-03-18,2026-03-18,0.2393677658100657,-0.0992018214157041,1.7348762116874434,0.13797397427983776,1.9237295074666587,0.6885245901639344,0.6606110652353427,43.80599671412924,2025-11-18,2026-01-16,
top_100,10,2016-03-18,2026-03-18,0.3937260576280184,-0.09920182141570397,3.2721263675149146,0.1203272775577558,26.64246894647136,0.6942148760330579,0.6648826677645121,37.905188937568454,2025-11-18,2026-01-16,
top_100,15,2011-03-18,2026-03-18,0.5364549346562055,-0.09920182141570431,4.280978112666694,0.12531130048736425,626.9500002439282,0.712707182320442,0.686059275521405,34.331766745756525,2025-11-18,2026-01-16,
top_200,5,2021-03-18,2026-03-18,0.1857086477222445,-0.1412908623941677,1.4181531794203839,0.13095104987047015,1.343361559108291,0.6557377049180327,0.6630883567299752,48.206599123767795,2022-01-13,2022-07-15,2023-05-11
top_200,10,2016-03-18,2026-03-18,0.2704698415403839,-0.14129086239416844,2.448133048081728,0.11048004182301885,9.952197899999867,0.6776859504132231,0.6558254425689585,39.905462760131435,2022-01-13,2022-07-15,2023-05-11
top_200,15,2011-03-18,2026-03-18,0.34449880440001457,-0.14129086239416852,3.2843315724553324,0.10489160329889312,83.81922505445567,0.6850828729281768,0.6701427003293084,36.9983117357182,2022-01-13,2022-07-15,2023-05-11
top_300,5,2021-03-18,2026-03-18,0.17558972612762092,-0.12748520558447368,1.412150558925836,0.1243420717555674,1.2450748375634304,0.639344262295082,0.6573080099091659,47.006434830230006,2021-03-24,2021-09-30,2021-12-21
top_300,10,2016-03-18,2026-03-18,0.22806959493088574,-0.1274852055844737,2.1990085057308395,0.10371473977318106,6.80023435166489,0.6859504132231405,0.6467682173734047,40.10549014238773,2021-03-24,2021-09-30,2021-12-21
top_300,15,2011-03-18,2026-03-18,0.28728813025691347,-0.1274852055844734,2.9683762500225446,0.09678292307275115,43.1785584106271,0.6795580110497238,0.6599890230515917,36.33167548822778,2021-03-24,2021-09-30,2021-12-21
top_400,5,2021-03-18,2026-03-18,0.17672712841669846,-0.12171608663242173,1.4733294019422418,0.11995085972201795,1.2559551136830458,0.6721311475409836,0.6589595375722543,46.206325301204814,2021-04-16,2021-09-30,2022-01-05
top_400,10,2016-03-18,2026-03-18,0.19872254743114093,-0.12171608663242127,1.997825374997251,0.0994694280682136,5.124617668554328,0.6694214876033058,0.6434746809386579,39.905462760131435,2021-04-16,2021-09-30,2022-01-05
top_400,15,2011-03-18,2026-03-18,0.24002548764703313,-0.12171608663242199,2.6292884925664746,0.09128914089329995,24.20711407347966,0.6629834254143646,0.6492864983534578,36.06502098923161,2021-04-16,2021-09-30,2022-01-05
